,x,y,z
157276,5951810.14,2159950.34,71.06
157277,5951810.01,2159950.5,71.69
157278,5951810.37,2159950.57,71.55
157279,5951810.63,2159950.14,71.59
157280,5951812.63,2159950.73,59.84
157281,5951812.24,2159950.99,59.480000000000004
157282,5951813.22,2159950.44,60.4
157283,5951814.14,2159950.04,61.15
157284,5951813.55,2159950.21,62.730000000000004
157285,5951813.0200000005,2159950.3,63.06
157286,5951812.7,2159950.44,63.42
157287,5951812.34,2159950.14,66.54
157288,5951814.7,2159935.44,87.11
157289,5951814.07,2159935.64,87.24
157290,5951818.7700000005,2159933.93,86.45
157291,5951815.850000001,2159934.82,86.88
157292,5951816.8,2159934.65,86.84
157293,5951824.25,2159931.9,85.76
157294,5951825.2,2159931.44,85.73
157295,5951816.7,2159934.69,96.72
157296,5951822.47,2159932.46,95.83
157297,5951823.36,2159932.16,95.77
157298,5951820.600000001,2159933.21,96.16
157299,5951848.75,2159922.25,82.45
157300,5951850.26,2159921.7,82.28
157301,5951849.7,2159921.99,82.28
157302,5951831.5600000005,2159928.81,84.78
157303,5951835.3,2159927.5,84.25
157304,5951834.19,2159927.9,84.38
157305,5951835.79,2159927.24,84.15
157306,5951836.97,2159926.7800000003,84.09
157307,5951828.7700000005,2159929.86,84.84
157308,5951828.58,2159930.19,85.17
157309,5951829.0,2159929.8,85.07000000000001
157310,5951829.72,2159929.47,84.97
157311,5951842.0600000005,2159924.98,83.27
157312,5951841.47,2159925.21,83.37
157313,5951840.49,2159925.5300000003,83.5
157314,5951839.7,2159925.89,83.69
157315,5951846.26,2159923.17,82.78
157316,5951849.25,2159922.12,91.99
157317,5951849.84,2159921.79,91.96000000000001
157318,5951852.2,2159920.87,91.73
157319,5951828.15,2159930.32,85.27
157320,5951830.64,2159929.24,94.72
157321,5951833.23,2159928.29,94.36
157322,5951827.92,2159930.39,95.14
157323,5951828.28,2159930.2600000002,95.01
157324,5951830.0200000005,2159929.31,94.68
157325,5951840.8100000005,2159925.17,93.18
157326,5951844.98,2159923.73,92.62
157327,5951843.8,2159924.19,92.81
157328,5951847.47,2159922.61,92.52
157329,5951848.29,2159922.42,92.16
157330,5951805.18,2159945.65,72.21000000000001
157331,5951807.12,2159944.99,72.47
157332,5951806.92,2159945.22,72.74
157333,5951806.17,2159945.5100000002,74.74
157334,5951805.7700000005,2159945.61,75.26
157335,5951809.09,2159943.94,72.34
157336,5951809.8100000005,2159943.94,73.03
157337,5951810.24,2159943.74,73.43
157338,5951810.92,2159943.5100000002,73.49
157339,5951811.32,2159944.17,73.49
157340,5951811.48,2159944.6,72.97
157341,5951811.78,2159945.38,72.15
